År;Norden unntatt Norge;Vest-Europa unntatt Norden;EU-land i Øst-Europa;Øst-Europa unntatt EU-land;Afrika;Asia med Tyrkia;Sør- og Mellom-Amerika;Nord-Amerika og Oseania
2005;49937;34400;18560;34857;33972;108647;11812;
2006;50287;35983;22544;36956;36762;114671;12405;
2007;51066;38640;31487;38360;39495;120483;13090;
2008;52972;43524;48293;40729;43031;128411;14024;
2009;55626;49015;65517;42876;46392;137889;15091;
2010;59087;52708;78183;44487;50769;147439;16035;
2011;63030;56259;96606;45989;55593;155320;16746;
2012;66677;60131;119707;47810;60243;163281;17696;
2013;68501;64019;140677;50061;67571;171920;18814;
2014;70282;67095;157728;52071;74283;179785;19853;
2015;72078;70294;172391;54057;79930;187648;20782;
2016;72462;72492;182028;55858;86089;196111;21127;
2017;70925;72941;184942;57740;90502;213989;21537;
2018;69752;73450;187423;59753;93735;227630;22173;
2019;69445;75028;189604;61891;96054;236747;23068;
2020;69243;77849;195400;64744;99538;245284;24383;
2021;68970;79614;198246;65869;100464;247755;24947;
2022;69019;83004;203444;67145;103078;253357;25659;